network,treatment,lambda,seconds,incumbent_scale,claimed_gc,claimed_unserved,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,n_route_periods_moved
splice|006|021|NMURBEAN,route_level,2.0,14.312804698944092,1.000204836956281,1694597.1415626218,2998.3736101170957,1801706.5566629337,9941.681649767144,21007.31835023286,85.76566159587723,2442.6901884290496,1.6038402532948526,-4.340587557138531,2.1945102519951076,-0.5779860358876121,-2.9593849569009234,-69.84037795871964,134
splice|006|021|NMURBEAN,route_level,4.0,14.119921922683716,1.000204836956281,1698048.9503565428,2945.995523805269,1800276.8914420179,9931.350924716835,21017.64907528317,85.65548339843346,2448.538760284685,1.5232169818834018,-4.439990366767265,2.2447662327663487,-0.7057077613540463,-2.7270390733815653,-70.33640693862336,133
splice|006|021|NMURBEAN,path_level,1.0,133.97085309028625,1.000204836956281,1711231.1401327385,10809.924251597038,1711231.1401327385,10809.924251597038,20139.075748402964,84.97068889908911,2514.5987312533925,-3.4983500750850327,4.013690931637481,-2.0292381577080576,-1.4995411791753566,-0.1026783407356402,0.0,111
splice|006|021|NMURBEAN,path_level,2.0,139.92822670936584,1.000204836956281,1784174.2894079576,9814.890189667009,1784174.2894079576,9814.890189667009,21134.109810332997,84.4215491175138,2514.556743369353,0.6151411364131221,-5.560582021177273,2.8113139274116516,-2.13611975871556,-0.10434639103151788,0.0,104
splice|006|021|NMURBEAN,path_level,4.0,145.87706351280212,1.000204836956281,1789652.532699506,9776.91007957222,1789652.532699506,9776.91007957222,21172.089920427785,84.52885565032334,2514.0964463476125,0.9240763257783335,-5.926028747815093,2.996076146260518,-2.011726949228476,-0.12263258479600081,0.0,104
splice|007|101|EMO4THW,route_level,1.0,6.846515893936157,1.0,1696445.4742733594,3068.770940440674,1799899.7995182043,9957.917806132684,20991.082193867318,85.74592690814468,2438.9661715736556,1.795901327406324,-5.12064322817436,2.6275466885524734,-0.8103529588113112,-3.107328764015771,-69.18260423327915,135
splice|007|101|EMO4THW,route_level,2.0,6.567156553268433,1.0,1703410.890325645,2958.111946086344,1791041.199692435,10012.064539879972,20936.935460120032,85.54457280073055,2442.3867185721842,1.2948905744719852,-4.604731431224796,2.3628177720363963,-1.0432764755877622,-2.971440886751031,-70.45452579431928,136
splice|007|101|EMO4THW,route_level,4.0,6.179491281509399,1.0,1706639.0307334906,2909.3333160916945,1786084.5642441646,10035.474621070733,20913.52537892927,85.403323059233,2449.609909489292,1.0145609843786207,-4.381679434954277,2.2483634919664652,-1.2066721319063278,-2.6844855894766484,-71.00950950557748,137
splice|007|101|EMO4THW,path_level,1.0,91.6027717590332,1.0,1710064.5005099676,10673.66760157353,1710064.5005099676,10673.66760157353,20275.332398426475,84.34211912810278,2514.007445022705,-3.2848621884340568,1.6990435299519602,-0.8718272298816832,-2.4342574780917947,-0.1261683353998233,0.0,109
splice|007|101|EMO4THW,path_level,2.0,93.8355302810669,1.0,1782695.9637234793,9827.299532003246,1782695.9637234793,9827.299532003246,21121.700467996758,84.40115730381605,2513.7307341194182,0.82291384694686,-6.365178287945062,3.2661527834070503,-2.365962971027602,-0.13716121381366353,0.0,110
