period,od_index,flow,route,n_same_route_patterns,n_other_routes,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving,saving_same_route_min,flow_weighted_saving_same_route,saving_cross_route_only_min,flow_weighted_saving_cross_route
am_peak,353,0.566801474205193,102,1,1,2,30.0,10.0,10.5,5.0,11.0,6.234816216257123,0.0,0.0,11.0,6.234816216257123
am_peak,355,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,357,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,368,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,369,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,371,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,372,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,375,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,380,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,386,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,387,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,387,0.20610962698370655,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.7213836944429729,0.0,0.0,3.5,0.7213836944429729
am_peak,388,1.8034592361074324,102,1,1,2,30.0,10.0,10.5,5.0,11.0,19.838051597181757,0.0,0.0,11.0,19.838051597181757
am_peak,392,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,393,0.9790207281726062,102,1,1,2,30.0,10.0,10.5,5.0,11.0,10.769228009898669,0.0,0.0,11.0,10.769228009898669
am_peak,394,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,397,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,402,0.20610962698370655,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598,0.0,0.0,1.5,0.3091644404755598
am_peak,412,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,413,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,418,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,431,0.3606918472214865,007,2,2,4,15.0,10.0,6.75,5.0,3.5,1.2624214652752028,0.0,0.0,3.5,1.2624214652752028
am_peak,457,0.2576370337296332,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3864555505944498,0.0,0.0,1.5,0.3864555505944498
am_peak,462,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,462,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,466,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,467,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,471,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,471,0.10305481349185328,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.36069184722148645,0.0,0.0,3.5,0.36069184722148645
am_peak,472,1.133602948410386,102,1,1,2,30.0,10.0,10.5,5.0,11.0,12.469632432514246,0.0,0.0,11.0,12.469632432514246
am_peak,473,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,476,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,477,0.6698562876970463,102,1,1,2,30.0,10.0,10.5,5.0,11.0,7.368419164667509,0.0,0.0,11.0,7.368419164667509
am_peak,478,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,479,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
