route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
073,pm_peak,90.0,90.0,0.0,2.45,2.45,0.0,36.75,unchanged
075,pm_peak,180.0,180.0,0.0,0.65,0.65,0.0,39.0,unchanged
071,pm_peak,90.0,90.0,0.0,1.5,1.5,0.0,45.0,unchanged
061,pm_peak,180.0,180.0,0.0,0.95,0.95,0.0,28.5,unchanged
061,am_peak,180.0,180.0,0.0,0.95,0.95,0.0,28.5,unchanged
073,am_peak,90.0,90.0,0.0,2.5833333333333335,2.5833333333333335,0.0,38.75,unchanged
052,pm_peak,60.0,60.0,0.0,1.7,1.7,0.0,34.0,unchanged
051,am_peak,60.0,60.0,0.0,2.683333333333333,2.683333333333333,0.0,26.833333333333332,unchanged
074,pm_peak,180.0,180.0,0.0,0.9,0.9,0.0,54.0,unchanged
074,am_peak,180.0,180.0,0.0,0.85,0.85,0.0,51.0,unchanged
042,pm_peak,180.0,180.0,0.0,0.6833333333333333,0.6833333333333333,0.0,41.0,unchanged
042,am_peak,180.0,180.0,0.0,0.7,0.7,0.0,42.0,unchanged
043,am_peak,180.0,180.0,0.0,1.25,1.25,0.0,37.5,unchanged
052,am_peak,60.0,60.0,0.0,1.75,1.75,0.0,35.0,unchanged
046,pm_peak,180.0,180.0,0.0,0.35,0.35,0.0,21.0,unchanged
045,pm_peak,120.0,120.0,0.0,1.8333333333333333,1.8333333333333333,0.0,36.666666666666664,unchanged
045,am_peak,120.0,120.0,0.0,1.6333333333333333,1.6333333333333333,0.0,32.666666666666664,unchanged
051,pm_peak,90.0,90.0,0.0,2.15,2.15,0.0,32.25,unchanged
041,am_peak,180.0,180.0,0.0,0.5,0.5,0.0,30.0,unchanged
043,pm_peak,180.0,180.0,0.0,1.5,1.5,0.0,45.0,unchanged
041,pm_peak,180.0,180.0,0.0,0.5166666666666667,0.5166666666666667,0.0,31.0,unchanged
003,early,40.0,40.0,0.0,8.0,8.0,0.0,80.0,unchanged
003,evening,30.0,30.0,0.0,21.283333333333335,21.283333333333335,0.0,79.8125,unchanged
003,owl,120.0,120.0,0.0,8.083333333333334,8.083333333333334,0.0,80.83333333333333,unchanged
002,early,24.0,24.0,0.0,12.4,12.4,0.0,74.4,unchanged
001,am_peak,15.0,15.0,0.0,33.233333333333334,33.233333333333334,0.0,83.08333333333333,unchanged
102,evening,32.0,32.0,0.0,17.65,17.65,0.0,70.6,unchanged
141,am_peak,180.0,180.0,0.0,0.7166666666666667,0.7166666666666667,0.0,43.0,unchanged
141,evening,240.0,240.0,0.0,0.7,0.7,0.0,42.0,unchanged
007,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,6.316666666666666,6.31666666667544,8.773426429797837e-12,54.142857142857146,unchanged
022,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,8.35,8.350000000011597,1.1597833804444235e-11,71.57142857142857,unchanged
