period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,345,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,347,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,349,1.6488770158696524,102,3,30.0,10.0,10.5,5.0,11.0,18.137647174566176
am_peak,352,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,353,0.566801474205193,102,3,30.0,10.0,10.5,5.0,11.0,6.234816216257123
am_peak,354,0.20610962698370655,005,2,60.0,30.0,18.0,10.5,15.0,3.0916444047555984
am_peak,355,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,357,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,368,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,368,0.15458222023777993,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,2.2524837806076508
am_peak,369,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,371,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,372,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,375,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,375,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,380,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,383,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,384,2.164151083328919,002,2,30.0,15.0,10.5,6.75,7.5,16.23113312496689
am_peak,386,0.20610962698370655,102,3,30.0,10.0,10.5,5.0,11.0,2.267205896820772
am_peak,386,0.20610962698370655,101,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,387,0.20610962698370655,102,3,30.0,10.0,10.5,5.0,11.0,2.267205896820772
am_peak,387,0.20610962698370655,007,6,30.0,4.285714285714286,10.5,2.142857142857143,16.714285714285715,3.444975193870524
am_peak,388,1.8034592361074324,102,3,30.0,10.0,10.5,5.0,11.0,19.838051597181757
am_peak,389,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,389,0.15458222023777993,008,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,390,0.2576370337296332,002,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,391,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,392,0.20610962698370655,102,3,30.0,10.0,10.5,5.0,11.0,2.267205896820772
am_peak,393,0.9790207281726062,102,3,30.0,10.0,10.5,5.0,11.0,10.769228009898669
am_peak,394,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,395,0.10305481349185328,005,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,397,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,398,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,402,0.20610962698370655,034,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598
am_peak,402,0.20610962698370655,004,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,406,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,407,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,407,0.10305481349185328,001,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,408,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,409,0.15458222023777993,005,2,60.0,30.0,18.0,10.5,15.0,2.318733303566699
am_peak,410,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,412,0.2576370337296332,102,3,30.0,10.0,10.5,5.0,11.0,2.8340073710259652
am_peak,413,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,413,0.15458222023777993,004,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,418,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
