route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_trips,optimized_trips,baseline_veh_hours,optimized_veh_hours,veh_hours_change,demand_potential,runtime_min,direction
022,early,24.0,60.0,36.0,10.0,4.0,8.983333333333333,3.5933333333333333,-5.389999999999999,35.48921392188156,53.9,less service
008,early,26.666666666666668,40.0,13.333333333333332,9.0,6.0,13.25,8.833333333333334,-4.416666666666666,121.04459423750875,88.33333333333333,less service
034,owl,40.0,60.0,20.0,18.0,12.0,12.3,8.2,-4.100000000000001,23.444121775927922,41.0,less service
001,early,21.818181818181817,30.0,8.181818181818183,11.0,8.0,14.383333333333333,10.460606060606061,-3.922727272727272,138.31782449513582,78.45454545454545,less service
101,early,24.0,45.0,21.0,10.0,5.333333333333333,8.316666666666666,4.435555555555555,-3.881111111111111,54.89616818147616,49.9,less service
010,early,21.818181818181817,30.0,8.181818181818183,11.0,8.0,13.283333333333333,9.66060606060606,-3.622727272727273,113.11968072398834,72.45454545454545,less service
006,evening,20.0,24.0,4.0,24.0,20.0,15.816666666666666,13.180555555555554,-2.636111111111113,83.4812484020864,39.541666666666664,less service
002,early,24.0,30.0,6.0,10.0,8.0,12.4,9.92,-2.4800000000000004,112.9967671354384,74.4,less service
003,am_peak,25.714285714285715,30.0,4.285714285714285,14.0,12.0,16.983333333333334,14.557142857142859,-2.4261904761904756,413.47807202914703,72.78571428571429,less service
007,early,24.0,30.0,6.0,10.0,8.0,8.916666666666666,7.133333333333334,-1.7833333333333323,95.37374435765447,53.5,less service
023,owl,51.42857142857143,60.0,8.57142857142857,14.0,12.0,9.1,7.8,-1.2999999999999998,40.468170610304135,39.0,less service
034,early,30.0,40.0,10.0,8.0,6.0,4.866666666666666,3.65,-1.2166666666666663,29.305152219909903,36.5,less service
012,pm_peak,20.0,24.0,4.0,18.0,15.0,6.483333333333333,5.402777777777778,-1.0805555555555557,70.83931117399025,21.61111111111111,less service
007,evening,19.2,20.0,0.8000000000000007,25.0,24.0,22.516666666666666,21.616,-0.9006666666666661,228.8969864583707,54.04,less service
003,early,40.0,45.0,5.0,6.0,5.333333333333333,8.0,7.111111111111111,-0.8888888888888893,93.97228909753343,80.0,less service
012,am_peak,25.714285714285715,30.0,4.285714285714285,14.0,12.0,4.966666666666667,4.257142857142857,-0.7095238095238097,64.93603524282439,21.285714285714285,less service
031,early,40.0,45.0,5.0,6.0,5.333333333333333,5.55,4.933333333333334,-0.6166666666666663,59.49131262561752,55.5,less service
001,owl,65.45454545454545,65.454545455,4.545483989204513e-10,11.0,10.999999999923611,15.416666666666666,15.416666666559609,-1.070574739969743e-10,110.65425959610866,84.0909090909091,unchanged
002,owl,65.45454545454545,65.454545455,4.545483989204513e-10,11.0,10.999999999923611,14.566666666666666,14.56666666656551,-1.0115641657648666e-10,90.39741370835073,79.45454545454545,unchanged
004,early,48.0,48.0,0.0,5.0,5.0,5.8,5.8,0.0,70.30838047002155,69.6,unchanged
004,midday,30.0,30.0,0.0,24.0,24.0,30.916666666666668,30.916666666666668,0.0,464.03531110214215,77.29166666666667,unchanged
004,owl,120.0,120.0,0.0,6.0,6.0,7.933333333333334,7.933333333333334,0.0,56.24670437601723,79.33333333333333,unchanged
009,early,60.0,60.0,0.0,4.0,4.0,6.266666666666667,6.266666666666667,0.0,65.28434983833438,94.0,unchanged
003,evening,30.0,30.0,0.0,16.0,16.0,21.283333333333335,21.283333333333335,0.0,225.5334938340802,79.8125,unchanged
006,owl,90.0,90.0,0.0,8.0,8.0,5.066666666666666,5.066666666666666,0.0,27.827082800695468,38.0,unchanged
008,owl,80.0,80.0,0.0,9.0,9.0,13.65,13.65,0.0,96.83567539000698,91.0,unchanged
031,owl,90.0,90.0,0.0,8.0,8.0,7.966666666666667,7.966666666666667,0.0,47.59305010049401,59.75,unchanged
003,owl,120.0,120.0,0.0,6.0,6.0,8.083333333333334,8.083333333333334,0.0,75.17783127802674,80.83333333333333,unchanged
004,am_peak,30.0,30.0,0.0,12.0,12.0,14.583333333333334,14.583333333333334,0.0,309.3568740680947,72.91666666666667,unchanged
024,pm_peak,30.0,30.0,0.0,12.0,12.0,15.366666666666667,15.366666666666667,0.0,339.08420384021747,76.83333333333333,unchanged
031,evening,30.0,30.0,0.0,16.0,16.0,17.333333333333332,17.333333333333332,0.0,142.77915030148202,65.0,unchanged
031,am_peak,30.0,30.0,0.0,12.0,12.0,12.716666666666667,12.716666666666667,0.0,261.76177555271704,63.583333333333336,unchanged
032,owl,144.0,144.0,0.0,5.0,5.0,4.783333333333333,4.783333333333333,0.0,55.972648810315675,57.4,unchanged
031,pm_peak,30.0,30.0,0.0,12.0,12.0,15.116666666666667,15.116666666666667,0.0,285.55830060296404,75.58333333333333,unchanged
025,owl,120.0,120.0,0.0,6.0,6.0,5.583333333333333,5.583333333333333,0.0,75.918597703507,55.833333333333336,unchanged
024,owl,90.0,90.0,0.0,8.0,8.0,9.05,9.05,0.0,56.51403397336958,67.875,unchanged
024,evening,30.0,30.0,0.0,16.0,16.0,18.65,18.65,0.0,169.54210192010873,69.9375,unchanged
024,am_peak,30.0,30.0,0.0,12.0,12.0,14.1,14.1,0.0,310.8271868535327,70.5,unchanged
021,owl,240.0,240.0,0.0,3.0,3.0,3.1166666666666667,3.1166666666666667,0.0,46.0164274121113,62.333333333333336,unchanged
